113B_T2_T1_2	2.0	4.0	7.0	10.0	11.0	10.0	11.0	12.0	28.0	49.5	65.0	123.0	234.5	426.0	783.0	1569.0	3065.0	5747.5	10591.0	18516.5	30174.0	46149.0	67820.5	96290.0	131656.5	174576.0	224280.5	281175.0	344012.0	411405.0	481254.0	554556.5	629304.0	702043.0	773382.0	838745.5	898417.5	954962.0	1003264.5	1038932.0	1063299.0	1074414.0	1073309.5	1064482.5	1052298.0	1035340.0	1013812.0	993128.0	974000.0	956945.0	943481.0	933115.5	922840.0	916761.5	914740.5	914125.0	916963.5	920838.5	921528.5	916249.5	905277.5	885809.0	856917.0	819752.0	772969.5	717463.0	657077.5	596475.5	534537.0	471148.0	408385.0	347743.5	295280.0	251340.0	214115.0	183947.0	159316.0	137569.5	118331.5	101784.0	85950.0	71689.0	58925.0	46938.0	36444.5	28415.0	23077.0	17795.5	13057.5	10412.0	8049.0	5838.0	4197.0	2727.5	1566.5	852.5	454.0	251.5	155.0	106.0	51.5
117B_CM+_T1_1	0.0	1.0	1.0	3.5	6.5	6.5	8.5	9.5	20.0	42.0	68.5	139.0	291.5	538.0	1019.0	1962.5	3604.5	6418.5	11276.5	18791.5	29958.0	45242.0	65241.0	91718.5	124613.5	164126.0	210500.5	264005.5	323210.0	387919.0	458726.5	532053.0	606135.5	682263.0	756567.5	825265.0	892221.5	954734.0	1008711.5	1050885.0	1079461.0	1094561.0	1098242.0	1094282.0	1084097.5	1069742.5	1052650.0	1033931.0	1014210.0	997372.5	984207.5	973274.0	964776.0	959930.5	958733.0	959721.5	962739.0	966755.0	967685.5	963408.0	953158.0	934784.0	904855.0	863431.5	813111.5	755275.5	692206.5	628391.5	563834.5	498229.0	432939.0	370002.0	315824.0	270744.0	233502.5	202860.0	175771.0	151997.5	131488.5	113568.0	96799.5	80845.0	66417.0	52705.0	40769.5	31285.0	23929.5	17630.5	12794.5	9619.5	6778.0	4511.0	2897.0	1674.0	880.5	432.5	214.0	97.5	53.0	36.5	18.0
117B_CM+_T1_2	0.0	1.0	5.0	5.5	8.0	8.5	5.5	8.5	17.5	30.5	56.5	105.5	183.5	350.0	695.0	1390.0	2676.0	5026.0	9167.5	16082.5	26546.0	40822.5	60342.5	86593.0	119094.5	158789.5	206283.5	260970.5	321563.0	387563.5	458526.5	534086.5	610278.5	686734.5	763256.0	834427.0	900499.5	963893.5	1019631.0	1061689.0	1089397.5	1103979.0	1106371.5	1100235.0	1088897.0	1074082.5	1056170.5	1035808.0	1017389.5	999461.0	984634.5	974062.0	966065.5	961087.5	958628.0	959048.0	962780.0	967391.5	966761.0	961164.5	951705.5	932915.5	901325.5	860353.5	811065.0	752078.0	687341.0	623080.5	558067.5	491611.5	427123.5	366202.5	312121.5	266956.5	229635.5	198921.0	173364.5	150428.5	130621.0	113001.5	95386.5	79064.5	64849.5	51762.5	40241.0	30898.5	23584.5	17657.5	13028.0	9653.5	6906.0	4683.5	3186.5	2117.0	1209.0	639.5	360.5	215.5	132.0	73.5	39.5
117B_PBMC_T1_1	0.0	1.0	1.0	3.0	8.0	9.0	5.5	12.0	29.0	46.0	85.0	171.0	284.5	511.0	994.5	1923.0	3745.5	7062.5	12794.5	22177.5	36286.0	55521.5	81537.5	116066.0	158856.5	210137.5	269530.5	336429.0	410203.0	490073.5	573078.5	658447.0	745240.5	830693.5	913696.0	990584.0	1063465.0	1130136.5	1187483.5	1232003.5	1260535.0	1275011.0	1274770.0	1265274.5	1252312.5	1235856.5	1214488.5	1191981.0	1171231.0	1151150.0	1134703.0	1122176.0	1111276.0	1103906.5	1101456.0	1101151.0	1101159.5	1102853.5	1101089.5	1093416.0	1080620.5	1056237.0	1019471.5	972687.5	915890.5	849341.5	776410.0	704585.5	630972.5	554320.0	480673.0	411320.5	350715.0	299545.0	256720.5	223269.0	193854.0	166909.0	144462.0	124560.5	105556.5	88532.5	72972.0	57766.0	44520.0	34292.0	26452.5	19612.5	14263.5	10596.0	7324.0	4832.0	3124.5	1774.0	907.0	444.5	224.5	118.5	73.5	41.5	20.5
117B_PBMC_T1_2	4.0	2.0	1.0	3.0	7.0	15.0	17.0	16.0	22.0	36.0	72.5	143.0	236.0	403.0	821.0	1655.5	3279.5	6266.5	11656.5	20739.5	34516.5	53444.5	78947.0	113127.0	155785.0	207199.0	267556.0	335973.0	410861.5	491655.5	575473.5	662389.5	750104.5	837206.5	921297.5	996911.5	1069160.5	1136534.5	1193145.0	1237523.0	1267571.0	1280551.5	1278794.0	1267926.0	1254331.5	1237500.5	1215916.0	1192989.5	1170253.5	1149708.5	1133415.5	1120463.0	1109285.0	1103219.0	1099884.0	1098608.5	1100112.0	1102095.5	1100365.5	1091997.0	1078978.5	1055759.5	1018337.5	971179.0	913386.5	844980.5	772957.0	700737.0	626432.5	550699.5	477862.5	408761.0	347755.0	296813.5	255164.5	221665.0	192044.5	166127.0	143943.5	123917.0	105376.5	88194.0	72307.0	57300.0	44223.0	34263.5	26499.5	19630.5	14340.0	10717.0	7687.0	5204.0	3472.0	2293.0	1368.5	728.0	390.5	225.0	124.0	65.0	34.0
128RT_CM+_T1_1	0.0	0.5	2.0	2.5	3.0	4.0	7.0	11.0	17.0	34.5	75.5	144.0	261.5	488.0	943.0	1805.0	3367.0	5989.5	10570.5	17909.0	28841.5	43796.5	64236.0	91903.0	126685.0	169070.0	220384.0	282822.5	354140.5	432860.5	520058.5	613138.0	709293.5	809281.0	907412.5	999192.5	1086924.5	1169147.5	1240229.0	1294456.5	1332682.0	1354127.5	1359145.5	1352268.5	1340524.0	1323210.0	1298324.0	1271405.5	1245550.0	1223265.0	1206988.0	1192475.0	1178581.0	1169955.5	1168237.5	1170003.0	1173551.0	1179787.5	1179757.5	1173169.0	1164010.5	1144304.5	1109798.5	1062295.5	1004184.0	936491.0	862431.0	789170.5	713793.5	634930.0	557876.0	482800.5	415297.5	358739.5	312226.5	274021.5	240526.0	210662.5	184366.5	160518.0	137662.5	117092.0	97791.5	78796.5	61828.0	49273.0	41387.0	32976.0	25412.0	21833.0	16929.5	11431.0	7581.5	4418.5	2399.5	1243.5	667.0	374.0	206.0	104.0	39.5
128RT_CM+_T1_2	2.0	3.0	4.5	6.5	11.5	14.0	14.0	12.0	17.0	31.5	53.0	109.5	196.5	357.5	680.5	1291.5	2506.0	4879.0	8959.0	15594.0	25999.5	40589.5	60511.0	87893.5	122799.0	166269.5	219805.0	282358.0	354031.5	435651.5	524836.0	619939.0	718121.0	818200.5	917690.5	1010756.5	1098326.5	1179942.0	1250829.0	1304376.0	1340255.5	1359417.0	1363314.5	1354979.5	1340109.0	1322458.5	1297160.5	1268118.5	1243409.5	1222360.5	1203330.5	1188492.0	1176002.0	1167332.5	1165471.0	1168053.0	1172704.0	1177035.5	1176916.5	1172672.0	1163085.5	1142266.5	1107484.5	1059049.5	1001663.5	933158.0	857338.0	785131.0	710402.5	631316.5	553270.5	478441.5	412336.5	356622.0	309706.5	271755.0	238667.5	208927.0	183510.5	160013.0	136900.5	115526.0	96547.0	78256.5	61839.0	49146.5	40969.5	32565.0	24631.5	20715.0	16750.5	12422.0	9036.5	6030.0	3502.5	1809.0	1027.5	587.5	344.5	252.0	126.5
128RT_CM-_T1_1	0.0	1.0	2.0	3.5	5.5	4.5	9.5	13.0	22.5	45.5	90.5	180.5	285.5	529.5	1092.5	2045.0	3869.0	7248.5	12959.5	22236.0	36138.0	55107.5	81016.5	115165.0	156829.5	206733.0	266171.5	334563.0	408728.5	488786.5	573912.5	663048.5	752265.5	841477.5	929673.5	1010436.5	1085658.0	1158441.5	1223125.5	1271808.0	1306675.5	1327423.0	1335044.5	1332621.5	1326765.0	1319056.5	1304584.5	1287510.0	1274939.0	1266901.0	1261859.5	1259449.0	1257745.5	1258895.5	1267126.5	1279273.5	1291420.5	1302111.0	1307000.5	1304522.5	1294838.0	1272626.5	1233382.5	1179438.5	1113954.5	1036781.5	951249.0	866361.0	777955.5	685709.5	595453.5	509247.0	433350.0	370005.0	316869.5	273609.5	237304.0	205023.5	177877.5	153874.5	130684.0	109403.0	90341.0	72285.5	56166.0	44028.0	35745.0	27490.5	20620.5	17077.0	12803.0	8675.0	5687.0	3184.5	1726.0	846.5	426.0	224.0	130.5	76.0	37.5
128RT_CM-_T1_2	1.0	2.0	8.0	12.0	13.0	13.0	13.0	16.5	23.0	38.0	71.0	132.0	219.5	430.0	835.5	1624.5	3159.0	5982.0	11231.5	19993.0	33059.5	51368.5	76559.0	110438.0	152791.0	203545.0	263306.0	331505.5	407166.5	489997.0	576705.5	666220.0	757724.0	848946.5	937345.0	1018755.0	1096077.0	1169955.0	1233077.0	1280320.5	1313937.5	1334390.5	1342705.0	1339423.0	1329496.5	1319983.0	1306251.0	1289648.5	1276983.5	1268219.5	1261818.0	1258492.0	1257004.5	1259878.5	1267754.5	1278424.5	1290721.5	1301648.0	1306824.5	1304863.5	1293913.0	1270358.5	1232744.0	1178343.0	1111352.5	1032298.0	945206.0	859325.5	771826.0	680588.5	589955.0	504161.5	429002.5	365219.5	312526.0	270737.5	234750.5	203097.5	176330.5	152296.5	129105.5	107960.5	89118.0	71314.0	55321.5	43299.5	34905.0	26916.5	20137.5	16161.0	12528.0	9191.5	6571.5	4236.0	2433.0	1297.5	703.5	375.5	223.5	157.5	83.0
128RT_PBMC_T1_1	0.0	0.5	2.0	5.5	7.0	7.0	9.0	17.0	31.5	50.5	92.0	174.0	299.5	573.5	1150.0	2232.0	4147.0	7653.0	13931.0	23947.0	38796.5	59083.0	86091.0	121640.0	165399.0	217639.5	278742.5	348662.5	425736.5	507803.0	594377.5	684288.0	775889.0	866224.5	952309.5	1033967.5	1111198.0	1183899.5	1245701.5	1291605.0	1322754.5	1338553.0	1338602.0	1329509.0	1317149.5	1299717.0	1276902.5	1250932.0	1228527.0	1209145.0	1191752.5	1177674.5	1164031.5	1154624.5	1152515.5	1154078.0	1154811.0	1156692.5	1156165.5	1149098.0	1137086.5	1114001.0	1075253.0	1024771.0	965836.0	897412.0	822023.0	747578.5	670624.0	590095.5	512081.5	438566.0	374404.0	320008.5	275635.0	239825.0	208399.5	180395.0	156498.5	135366.0	114987.5	96501.5	79659.5	63617.5	49927.0	39344.5	31860.5	24425.5	18226.5	15060.5	11253.0	7612.5	4994.5	2740.0	1410.0	733.5	385.5	179.5	97.0	56.5	29.0
