task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
121	14/e1983b	2095736	NFCORE_HLATYPING:HLATYPING:YARA_MAPPER (96RT_T2_T1)	COMPLETED	0	2023-06-21 15:13:39.404	17m 28s	17m 24s	201.6%	240.9 MB	5.5 GB	18.4 GB	6.1 GB
132	df/17b94f	2141156	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67RT_T1_T1)	COMPLETED	0	2023-06-21 15:28:09.577	3m 3s	3m	101.6%	5.9 GB	14.1 GB	45.9 MB	1 MB
135	36/3945e4	2147594	NFCORE_HLATYPING:HLATYPING:OPTITYPE (128RT_T2_T1)	COMPLETED	0	2023-06-21 15:29:08.317	2m 30s	2m 27s	103.0%	5 GB	13.2 GB	48.5 MB	648 KB
133	8d/0bfef5	2142981	NFCORE_HLATYPING:HLATYPING:OPTITYPE (28RT_TISSUE_T1)	COMPLETED	0	2023-06-21 15:28:20.345	3m 34s	3m 32s	101.9%	6.8 GB	14.9 GB	46.7 MB	1.3 MB
136	1d/680f57	2148646	NFCORE_HLATYPING:HLATYPING:OPTITYPE (96RT_T1_T1)	COMPLETED	0	2023-06-21 15:29:12.689	3m 8s	3m 5s	100.3%	6.5 GB	14.6 GB	49 MB	1.1 MB
134	f8/8e6f85	2146915	NFCORE_HLATYPING:HLATYPING:OPTITYPE (96RT_CM+_T1)	COMPLETED	0	2023-06-21 15:29:06.575	3m 21s	3m 18s	99.7%	6.4 GB	14.5 GB	48.6 MB	1.1 MB
137	17/cca999	2156610	NFCORE_HLATYPING:HLATYPING:OPTITYPE (81B_PBMC_T1)	COMPLETED	0	2023-06-21 15:31:07.680	2m 57s	2m 55s	104.4%	6.2 GB	14.3 GB	47.4 MB	1.3 MB
138	9c/3873ce	2157735	NFCORE_HLATYPING:HLATYPING:OPTITYPE (128RT_PBMC_T1)	COMPLETED	0	2023-06-21 15:31:12.890	3m 9s	3m 6s	102.9%	6.3 GB	14.4 GB	51 MB	1.3 MB
139	95/3f5dec	2160691	NFCORE_HLATYPING:HLATYPING:OPTITYPE (117B_PBMC_T1)	COMPLETED	0	2023-06-21 15:31:38.562	3m 6s	3m 4s	102.9%	6.1 GB	14.3 GB	50.5 MB	1.2 MB
141	a5/eef51e	2165750	NFCORE_HLATYPING:HLATYPING:OPTITYPE (113B_T2_T1)	COMPLETED	0	2023-06-21 15:32:20.237	3m	2m 57s	101.3%	6 GB	14.1 GB	47.1 MB	1 MB
140	d2/aa1546	2162800	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67B_CM+_T1)	COMPLETED	0	2023-06-21 15:31:54.527	3m 35s	3m 33s	102.5%	7.3 GB	15.4 GB	47.9 MB	1 MB
142	f1/61d6b1	2167083	NFCORE_HLATYPING:HLATYPING:OPTITYPE (28RT_T2_T1)	COMPLETED	0	2023-06-21 15:32:27.101	3m 4s	3m 1s	101.9%	6.3 GB	14.3 GB	46.4 MB	1.3 MB
143	81/3cd716	2174724	NFCORE_HLATYPING:HLATYPING:OPTITYPE (96RT_CM-_T1)	COMPLETED	0	2023-06-21 15:34:05.041	3m 11s	3m 8s	105.3%	6.1 GB	14.2 GB	48.5 MB	1.1 MB
144	17/9a5fe3	2176948	NFCORE_HLATYPING:HLATYPING:OPTITYPE (113B_CM+_T1)	COMPLETED	0	2023-06-21 15:34:21.716	3m 3s	3m	105.6%	6.3 GB	14.4 GB	48 MB	1.1 MB
148	d2/5390ef	2185406	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67RT_CM+_T1)	COMPLETED	0	2023-06-21 15:35:31.192	2m 39s	2m 36s	103.1%	5.8 GB	13.9 GB	45.2 MB	1 MB
145	c8/8b9748	2179548	NFCORE_HLATYPING:HLATYPING:OPTITYPE (113B_PBMC_T1)	COMPLETED	0	2023-06-21 15:34:44.534	3m 31s	3m 29s	102.8%	7.1 GB	15.6 GB	49 MB	1.1 MB
146	2c/6151cf	2183014	NFCORE_HLATYPING:HLATYPING:OPTITYPE (96RT_PBMC_T1)	COMPLETED	0	2023-06-21 15:35:20.169	3m 13s	3m 10s	102.3%	6.3 GB	14.8 GB	48.3 MB	1.1 MB
147	9f/62cb62	2184835	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67B_T1_T1)	COMPLETED	0	2023-06-21 15:35:29.977	3m 16s	3m 13s	102.6%	7.1 GB	15.1 GB	47.8 MB	1.1 MB
150	ab/5c6e31	2195296	NFCORE_HLATYPING:HLATYPING:OPTITYPE (128RT_T1_T1)	COMPLETED	0	2023-06-21 15:37:24.306	1m 52s	1m 49s	104.3%	3.7 GB	11.9 GB	45.2 MB	622.7 KB
151	6f/45f27a	2199592	NFCORE_HLATYPING:HLATYPING:OPTITYPE (81B_CM-_T1)	COMPLETED	0	2023-06-21 15:38:10.153	1m 21s	1m 18s	106.0%	2.6 GB	11.2 GB	39.5 MB	600.5 KB
153	81/51a55f	2203370	NFCORE_HLATYPING:HLATYPING:OPTITYPE (81B_CM+_T1)	COMPLETED	0	2023-06-21 15:38:33.275	1m 11s	1m 8s	107.1%	2.4 GB	10.9 GB	39.2 MB	585.6 KB
149	28/368bfe	2193791	NFCORE_HLATYPING:HLATYPING:OPTITYPE (28RT_T1_T1)	COMPLETED	0	2023-06-21 15:37:16.012	3m 15s	3m 12s	102.1%	6.6 GB	14.7 GB	46.4 MB	1.3 MB
156	59/2bd7cd	2210449	NFCORE_HLATYPING:HLATYPING:OPTITYPE (81B_T1_T1)	COMPLETED	0	2023-06-21 15:39:30.665	1m 16s	1m 14s	105.9%	2.7 GB	11.2 GB	39.5 MB	597.4 KB
154	a0/0358a1	2205225	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67_RT_T2_T1)	COMPLETED	0	2023-06-21 15:38:45.761	2m 9s	2m 6s	104.2%	4.5 GB	13 GB	43.3 MB	1001.9 KB
152	9d/8d828c	2200753	NFCORE_HLATYPING:HLATYPING:OPTITYPE (28RT_PBMC_T1)	COMPLETED	0	2023-06-21 15:38:15.894	3m 7s	3m 5s	103.1%	6.5 GB	15 GB	46.2 MB	1.2 MB
159	1f/2b3f9b	2218812	NFCORE_HLATYPING:HLATYPING:OPTITYPE (128RT_CM+_T1)	COMPLETED	0	2023-06-21 15:40:46.971	1m 58s	1m 55s	104.1%	3.9 GB	12.2 GB	44.9 MB	654.2 KB
155	0d/ea6c37	2208310	NFCORE_HLATYPING:HLATYPING:OPTITYPE (67B_T2_T1)	COMPLETED	0	2023-06-21 15:39:16.361	3m 41s	3m 38s	102.5%	7 GB	15 GB	47.2 MB	1 MB
157	f9/b02c6d	2212516	NFCORE_HLATYPING:HLATYPING:OPTITYPE (28RT_CM-_T1)	COMPLETED	0	2023-06-21 15:39:44.284	3m 24s	3m 21s	102.6%	7.3 GB	15.3 GB	47.4 MB	1.3 MB
158	e1/a466da	2216587	NFCORE_HLATYPING:HLATYPING:OPTITYPE (28RT_CM+_T1)	COMPLETED	0	2023-06-21 15:40:30.659	2m 39s	2m 36s	103.5%	5.7 GB	13.9 GB	45.2 MB	1.3 MB
160	86/8bc427	2220249	NFCORE_HLATYPING:HLATYPING:OPTITYPE (117B_CM+_T1)	COMPLETED	0	2023-06-21 15:40:54.334	2m 38s	2m 36s	103.3%	5.6 GB	14.1 GB	48.7 MB	1.2 MB
161	14/6e318e	2223337	NFCORE_HLATYPING:HLATYPING:OPTITYPE (96RT_T2_T1)	COMPLETED	0	2023-06-21 15:41:22.717	2m 42s	2m 40s	102.9%	5.7 GB	14.3 GB	47.4 MB	1.1 MB
162	8d/8932c8	2232983	NFCORE_HLATYPING:HLATYPING:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-06-21 15:44:06.772	2.5s	485ms	36.2%	1.7 MB	7.5 MB	856.2 KB	2.5 KB
163	d7/1d7353	2233484	NFCORE_HLATYPING:HLATYPING:MULTIQC	COMPLETED	0	2023-06-21 15:44:09.383	46.1s	43.3s	86.6%	191.7 MB	8.8 GB	1.3 GB	18.1 MB
